trace,genus
18,1
66,1
110,1
146,1
254,1
258,1
322,2
366,1
402,1
510,1
578,1
702,2
750,1
786,1
834,2
1006,0
1026,1
1042,2
1134,1
1170,1
1262,1
1278,1
1298,1
1470,1
1518,1
1554,2
1602,1
1794,2
1902,1
1938,1
1982,1
2046,1
2050,1
2158,1
2194,2
2238,2
2286,2
2302,1
2306,1
2322,1
2370,2
2414,1
2450,1
2562,2
2626,1
2670,1
2706,1
2814,1
2882,2
3006,1
3054,1
3090,1
3138,1
3310,1
3330,1
3346,2
3438,2
3474,2
3566,1
3582,1
3602,1
3774,2
3822,1
3858,1
3906,2
4030,1
4098,1
4206,1
4242,2
4286,2
4350,1
4354,2
4462,1
4498,1
4542,1
4590,1
4606,1
4610,2
4626,1
4674,2
4754,2
4862,1
4866,1
4930,2
4974,1
5010,1
5118,1
5186,1
5310,2
5358,2
5394,1
5442,2
5614,1
5634,2
5650,2
5742,1
5778,1
5870,1
5886,2
5906,1
6078,1
6126,1
6162,2
6210,1
6334,2
6402,1
6510,1
6546,1
6590,1
6654,1
6658,2
6766,1
6802,1
6846,2
6894,1
6910,1
6914,1
6930,1
6978,2
7022,1
7058,1
7166,1
7170,1
7234,1
7278,2
7314,2
7422,1
7490,2
7614,1
7662,1
7698,2
7746,1
7918,2
7938,2
7954,2
8046,1
8082,1
8174,2
8190,1
8210,1
8382,2
8430,1
8466,1
8514,2
8638,2
8706,1
8814,1
8850,2
8894,2
8958,2
8962,2
9070,1
9106,1
9150,1
9198,1
9214,1
9218,1
9234,1
9282,2
9326,2
9362,2
9470,2
9474,2
9538,2
9582,1
9618,1
9726,1
9794,2
9918,2
9966,1
10002,1
10050,2
10222,1
10242,1
10258,1
10350,1
10386,1
10478,2
10494,1
10514,2
10686,1
10734,1
10770,1
10818,1
10942,2
11010,2
11118,1
11154,2
11198,2
11262,1
11266,1
11374,1
11410,1
11454,2
11502,1
11518,1
11522,2
11538,1
11586,2
11630,1
11666,1
11774,1
11778,1
11842,2
11886,2
11922,1
12030,1
12098,2
12222,1
12270,2
12306,1
12354,1
12526,1
12546,1
12562,2
12654,1
12690,1
12782,1
12798,1
12818,1
12990,2
13038,1
13074,1
13122,2
13246,1
13314,2
13422,1
13458,1
13502,2
13566,2
13570,2
13678,2
13714,2
13758,1
13806,2
13822,1
13826,1
13842,1
13890,1
13934,2
13970,1
14078,1
14082,2
14146,2
14190,1
14226,1
14334,1
14402,1
14526,2
14574,1
14610,2
14658,2
14830,1
14850,1
14866,1
14958,2
14994,1
15086,2
15102,1
15122,2
15294,1
15342,1
15378,1
15426,1
15550,2
15618,1
15726,1
15762,2
15806,2
15870,1
15874,2
15982,1
16018,2
16062,2
16110,1
16126,2
16130,1
16146,1
16194,2
16238,2
16274,2
16382,1
16386,1
16450,2
16494,1
16530,1
16638,2
16706,2
16830,1
16878,1
16914,2
16962,2
17134,1
17154,2
17170,2
17262,1
17298,1
17390,1
17406,2
17426,1
17598,2
17646,1
17682,2
17730,2
17854,1
17922,2
18030,1
18066,1
18110,2
18174,1
18178,1
18286,2
18322,1
18366,1
18414,1
18430,1
18434,1
18450,1
18498,1
18542,1
18578,2
18686,2
18690,1
18754,2
18798,1
18834,2
18942,1
19010,1
19134,2
19182,2
19218,1
19266,2
19438,2
19458,1
19474,2
19566,1
19602,1
19694,1
19710,2
19730,1
19902,1
19950,2
19986,1
20034,1
20158,2
20226,1
20334,1
20370,2
20414,1
20478,1
20482,2
20590,1
20626,2
20670,2
20718,2
20734,2
20738,1
20754,1
20802,2
20846,2
20882,1
20990,1
20994,2
21058,1
21102,1
21138,1
21246,2
21314,2
21438,1
21486,2
21522,2
21570,1
21742,1
21762,2
21778,1
21870,1
21906,1
21998,1
22014,1
22034,2
22206,2
22254,1
22290,2
22338,2
22462,1
22530,1
22638,1
22674,2
22718,2
22782,1
22786,1
22894,1
22930,2
22974,1
23022,1
23038,2
