trace,admissible,L_class_number,commutator_class_number,walks
18,True,1,1,4.0
66,True,2,1,7.0
110,True,4,2,9.0
146,True,3,1,10.666666666666666
254,True,12,2,12.0
258,True,8,3,12.25
322,True,14,3,12.857142857142858
366,True,4,2,18.0
402,True,5,3,16.8
510,True,18,4,15.333333333333334
578,True,24,4,15.583333333333334
702,True,20,4,17.8
750,True,12,6,19.666666666666668
786,True,7,5,22.857142857142858
834,True,16,2,21.75
1006,True,10,0,27.6
1026,True,24,9,20.75
1042,True,24,4,20.166666666666668
1134,True,6,4,32.666666666666664
1170,True,16,6,24.25
1262,True,20,2,24.4
1278,True,24,4,25.0
1298,True,23,7,23.304347826086957
1470,True,52,12,21.307692307692307
1518,True,16,8,27.5
1554,True,8,4,37.0
1602,True,50,11,22.6
1726,True,32,0,28.75
1794,True,24,4,32.166666666666664
1902,True,20,10,28.2
1938,True,22,10,27.636363636363637
1982,True,96,10,22.125
2046,True,28,4,33.0
2050,True,112,6,21.714285714285715
2158,True,40,8,26.2
2194,True,20,2,33.4
2238,True,32,4,32.5
2286,True,12,4,38.666666666666664
2302,True,112,10,22.857142857142858
2306,True,84,11,23.976190476190474
2322,True,16,10,34.75
2370,True,32,2,35.375
2414,True,42,8,26.761904761904763
2450,True,40,2,28.8
2558,True,60,0,30.666666666666668
2562,True,48,10,29.666666666666668
2626,True,120,6,23.9
2670,True,24,14,33.333333333333336
2706,True,13,11,38.46153846153846
2814,True,40,8,33.5
2882,True,80,2,28.8
3006,True,52,8,32.23076923076923
3054,True,24,12,35.333333333333336
3090,True,24,8,37.333333333333336
3138,True,84,18,28.285714285714285
3310,True,66,8,29.151515151515152
3330,True,96,16,28.291666666666668
3346,True,32,4,36.0
3438,True,28,12,36.857142857142854
3474,True,24,10,37.333333333333336
3566,True,34,2,37.05882352941177
3582,True,72,12,32.27777777777778
3602,True,60,12,30.066666666666666
3774,True,64,6,33.25
3822,True,24,12,40.666666666666664
3858,True,32,10,38.625
3906,True,32,6,43.125
4030,True,200,6,26.96
4098,True,80,26,31.9
4206,True,30,12,39.86666666666667
4242,True,32,12,39.625
4286,True,80,2,38.0
4350,True,72,12,36.611111111111114
4354,True,132,5,30.21212121212121
4462,True,60,4,34.6
4498,True,72,10,32.111111111111114
4542,True,120,28,31.066666666666666
4590,True,56,20,34.07142857142857
4606,True,126,8,31.77777777777778
4610,True,120,2,34.56666666666667
4626,True,34,20,38.0
4674,True,56,8,43.785714285714285
4718,True,40,0,44.9
4754,True,64,8,35.3125
4862,True,176,12,29.704545454545453
4866,True,96,12,33.875
4930,True,192,10,29.333333333333332
4974,True,24,12,44.166666666666664
5010,True,44,16,40.0
5118,True,140,24,31.8
5186,True,198,19,30.09090909090909
5310,True,88,8,38.22727272727273
5358,True,24,10,49.666666666666664
5394,True,36,12,42.0
5442,True,64,6,43.0625
5614,True,64,8,37.375
5634,True,72,8,42.77777777777778
5650,True,100,8,35.16
5742,True,40,18,42.1
5778,True,41,23,40.68292682926829
5870,True,102,12,34.549019607843135
5886,True,88,8,40.40909090909091
5906,True,60,4,40.53333333333333
6078,True,144,30,34.111111111111114
6126,True,42,12,42.19047619047619
6162,True,48,20,42.5
6210,True,192,30,33.083333333333336
6334,True,168,4,34.73809523809524
6402,True,140,33,34.47142857142857
6510,True,48,20,42.333333333333336
6546,True,40,14,44.8
6590,True,320,20,30.1
6654,True,60,16,46.93333333333333
6658,True,288,14,30.916666666666668
6766,True,60,10,43.46666666666667
6802,True,124,18,34.354838709677416
6846,True,64,10,47.3125
6894,True,62,32,40.70967741935484
6910,True,320,12,31.1125
6914,True,192,10,34.75
6930,True,48,22,45.416666666666664
6978,True,128,8,38.84375
7022,True,96,10,39.708333333333336
7058,True,126,18,35.04761904761905
7166,True,240,16,32.86666666666667
7170,True,168,26,36.61904761904762
7234,True,224,4,34.607142857142854
7278,True,48,14,49.333333333333336
7314,True,36,16,50.0
7422,True,144,20,38.166666666666664
7490,True,192,4,37.770833333333336
7614,True,128,26,41.28125
7662,True,36,16,50.888888888888886
7698,True,56,20,46.42857142857143
7746,True,132,42,38.68181818181818
7918,True,120,8,38.333333333333336
7938,True,96,16,45.916666666666664
7954,True,96,10,39.875
8046,True,42,16,50.0
8082,True,64,22,43.375
8174,True,60,4,48.266666666666666
8190,True,180,24,37.86666666666667
8210,True,128,8,40.375
8382,True,96,8,45.166666666666664
8430,True,84,34,41.095238095238095
8466,True,46,26,46.78260869565217
8514,True,96,12,45.75
8638,True,320,12,34.55
8706,True,96,12,48.083333333333336
8814,True,76,32,42.526315789473685
8850,True,56,24,49.714285714285715
8894,True,144,6,44.5
8958,True,200,24,38.32
8962,True,192,4,44.041666666666664
9070,True,170,16,37.01176470588236
9106,True,100,8,43.44
9150,True,248,44,37.774193548387096
9198,True,62,20,46.58064516129032
9214,True,324,22,34.4320987654321
9218,True,384,36,33.604166666666664
9234,True,56,18,49.357142857142854
9282,True,224,34,37.375
9326,True,96,12,44.791666666666664
9362,True,80,6,47.95
9470,True,300,8,38.32
9474,True,120,10,47.166666666666664
9538,True,160,2,46.1
9582,True,96,36,41.583333333333336
9618,True,64,24,47.0625
9726,True,96,8,51.291666666666664
9794,True,360,10,35.833333333333336
9918,True,160,16,44.125
9966,True,48,24,52.75
10002,True,100,34,42.16
10050,True,208,24,40.44230769230769
10222,True,168,22,39.333333333333336
10242,True,224,30,39.82142857142857
10258,True,96,12,47.708333333333336
10350,True,64,20,50.125
10386,True,72,24,47.111111111111114
10478,True,160,16,41.375
10494,True,144,20,45.77777777777778
10514,True,108,8,44.333333333333336
10686,True,140,24,47.0
10734,True,52,24,51.69230769230769
10770,True,96,24,43.916666666666664
10818,True,208,56,41.0
10942,True,400,4,35.91
11010,True,264,24,39.92424242424242
11118,True,88,28,47.09090909090909
11154,True,64,22,49.6875
11198,True,420,12,36.51428571428571
11262,True,264,36,40.0
11266,True,280,12,40.3
11374,True,130,8,44.95384615384615
11410,True,216,30,38.51851851851852
11454,True,144,12,47.388888888888886
11502,True,120,52,43.1
11518,True,252,8,44.26984126984127
11522,True,200,4,50.48
11538,True,64,28,52.0625
11586,True,160,12,46.35
11630,True,120,6,49.56666666666667
11666,True,81,19,49.97530864197531
11774,True,288,16,40.52777777777778
11778,True,144,16,51.138888888888886
11842,True,432,20,37.47222222222222
11886,True,50,12,55.44
11922,True,112,40,46.142857142857146
12030,True,288,50,40.06944444444444
12098,True,356,16,38.31460674157304
12222,True,176,26,48.27272727272727
12270,True,108,32,48.370370370370374
12306,True,64,18,52.1875
12354,True,240,36,43.5
12526,True,96,12,52.5
12546,True,252,61,40.357142857142854
12562,True,120,6,48.96666666666667
12654,True,80,32,51.2
12690,True,160,62,42.55
12782,True,120,18,49.56666666666667
12798,True,168,16,50.07142857142857
12818,True,240,14,39.65
12990,True,160,14,51.575
13038,True,84,28,51.23809523809524
13074,True,64,26,55.3125
13122,True,128,16,52.59375
13246,True,480,22,37.75833333333333
13314,True,176,26,48.06818181818182
13422,True,80,26,52.35
13458,True,58,32,56.89655172413793
13502,True,384,10,40.354166666666664
13566,True,156,12,50.333333333333336
13570,True,480,14,39.18333333333333
13678,True,120,10,52.46666666666667
13714,True,208,16,42.09615384615385
13758,True,336,52,40.73809523809524
13806,True,72,24,55.611111111111114
13822,True,288,16,45.69444444444444
13826,True,288,8,46.361111111111114
13842,True,96,32,49.333333333333336
13890,True,368,62,40.80434782608695
13934,True,180,22,42.91111111111111
13970,True,156,8,50.61538461538461
14078,True,672,48,35.601190476190474
14082,True,240,30,45.416666666666664
14146,True,256,4,49.015625
14190,True,102,44,54.0
14226,True,80,32,54.7
14334,True,168,36,49.666666666666664
14402,True,600,48,36.89
14526,True,200,16,47.22
14574,True,66,20,58.36363636363637
14610,True,128,38,50.0625
14658,True,128,10,55.96875
14830,True,180,12,47.977777777777774
14850,True,216,16,50.81481481481482
14866,True,156,24,46.82051282051282
14958,True,88,28,56.18181818181818
14994,True,60,16,59.733333333333334
15086,True,120,8,52.36666666666667
15102,True,300,46,43.17333333333333
15122,True,192,16,47.541666666666664
15294,True,276,64,47.405797101449274
15342,True,112,40,52.107142857142854
15378,True,124,44,49.29032258064516
15426,True,240,44,48.3
15550,True,456,16,41.75438596491228
15618,True,320,38,43.9625
15726,True,94,28,52.04255319148936
15762,True,72,20,59.72222222222222
15806,True,312,8,49.12820512820513
15870,True,336,28,45.642857142857146
15874,True,462,24,40.45887445887446
15982,True,192,20,48.333333333333336
16018,True,160,12,52.775
16062,True,160,14,53.775
16110,True,100,40,56.0
16126,True,320,4,48.425
16130,True,576,20,40.666666666666664
16146,True,68,24,59.411764705882355
16194,True,160,16,52.35
16238,True,240,26,44.6
16274,True,160,6,52.1
16382,True,640,28,38.80625
16386,True,320,71,43.825
16450,True,520,14,43.1
16494,True,64,20,62.0625
16530,True,120,44,53.666666666666664
16638,True,240,32,51.06666666666667
16706,True,320,2,46.8
16830,True,408,72,43.27450980392157
16878,True,136,52,52.294117647058826
16914,True,120,36,50.733333333333334
16962,True,320,42,47.45
17134,True,180,20,50.48888888888889
17154,True,144,16,57.083333333333336
17170,True,288,34,43.861111111111114
17262,True,128,40,50.4375
17298,True,112,48,56.535714285714285
17390,True,224,14,49.267857142857146
17406,True,224,18,52.464285714285715
17426,True,165,33,48.99393939393939
17598,True,240,22,49.28333333333333
17646,True,88,36,59.59090909090909
17682,True,96,24,57.041666666666664
17730,True,320,20,48.15
17854,True,380,16,46.93684210526316
17922,True,240,40,51.833333333333336
18030,True,162,48,49.95061728395062
18066,True,144,44,51.22222222222222
18110,True,760,12,39.50526315789474
18174,True,288,44,49.09722222222222
18178,True,480,8,46.333333333333336
18286,True,160,8,53.9
18322,True,192,22,51.208333333333336
18366,True,360,48,45.577777777777776
18414,True,66,28,63.333333333333336
18430,True,840,48,38.99523809523809
18434,True,420,14,46.733333333333334
18450,True,172,44,50.13953488372093
18498,True,408,84,44.838235294117645
18542,True,320,26,44.2875
18578,True,192,16,50.395833333333336
18686,True,384,4,47.84375
18690,True,384,60,46.104166666666664
18754,True,432,12,45.5462962962963
18798,True,112,48,56.07142857142857
18834,True,80,22,59.1
18942,True,240,24,53.05
19010,True,896,34,39.325892857142854
19134,True,192,16,53.875
19182,True,112,34,58.392857142857146
19218,True,132,50,52.696969696969695
19266,True,192,12,56.625
19438,True,208,16,52.44230769230769
19458,True,224,30,57.69642857142857
19474,True,180,8,53.48888888888889
19566,True,120,38,56.43333333333333
19602,True,155,59,50.270967741935486
19694,True,246,36,47.36585365853659
19710,True,384,44,46.947916666666664
19730,True,280,22,47.714285714285715
19902,True,660,128,40.5030303030303
19950,True,140,40,55.77142857142857
19986,True,84,28,63.80952380952381
20034,True,336,50,48.20238095238095
20158,True,432,12,48.77777777777778
20226,True,240,24,53.31666666666667
20334,True,112,38,57.214285714285715
20370,True,152,50,54.39473684210526
20414,True,648,38,43.0679012345679
20478,True,300,48,51.42666666666667
20482,True,552,32,44.67391304347826
20590,True,252,32,50.63492063492063
20626,True,144,8,57.52777777777778
20670,True,416,36,46.88461538461539
20718,True,136,44,54.94117647058823
20734,True,416,24,49.0
20738,True,720,59,41.59166666666667
20754,True,112,32,59.785714285714285
20802,True,336,34,48.98809523809524
20846,True,128,8,60.09375
20882,True,432,54,42.74074074074074
20990,True,648,24,44.333333333333336
