trace,admissible,L_class_number,commutator_class_number,walks
25022,True,6,6.0,16.0
25086,True,24,24.0,18.0
25090,True,18,18.0,17.333333333333332
25198,True,12,12.0,16.666666666666668
25234,True,32,32.0,18.0
25278,True,24,24.0,20.166666666666668
25326,True,32,32.0,19.25
25342,True,16,16.0,17.5
25346,True,4,4.0,16.0
25362,True,82,82.0,18.48780487804878
25410,True,28,28.0,19.714285714285715
25454,True,18,18.0,17.333333333333332
25490,True,12,12.0,16.0
25598,True,44,44.0,18.272727272727273
25602,True,94,94.0,20.595744680851062
25666,True,48,48.0,19.0
25710,True,100,100.0,17.04
25746,True,42,42.0,18.38095238095238
25854,True,32,32.0,19.25
25922,True,18,18.0,19.555555555555557
26046,True,46,46.0,19.130434782608695
26094,True,36,36.0,18.88888888888889
26130,True,64,64.0,18.5
26178,True,52,52.0,17.23076923076923
26350,True,32,32.0,18.0
26370,True,64,64.0,18.5
26386,True,12,12.0,16.333333333333332
26478,True,28,28.0,19.428571428571427
26514,True,36,36.0,18.666666666666668
26606,True,40,40.0,18.2
26622,True,106,106.0,18.71698113207547
26642,True,14,14.0,19.428571428571427
26814,True,16,16.0,16.5
26862,True,54,54.0,19.62962962962963
26898,True,83,83.0,19.6144578313253
26946,True,18,18.0,17.333333333333332
27070,True,82,82.0,18.29268292682927
27138,True,48,48.0,18.666666666666668
27246,True,38,38.0,16.94736842105263
27282,True,40,40.0,18.5
27326,True,14,14.0,21.142857142857142
27390,True,78,78.0,18.666666666666668
27394,True,12,12.0,18.666666666666668
27502,True,66,66.0,20.0
27538,True,32,32.0,18.625
27582,True,92,92.0,19.217391304347824
27630,True,76,76.0,18.210526315789473
27646,True,20,20.0,19.6
27650,True,32,32.0,17.5
27666,True,48,48.0,17.666666666666668
27714,True,74,74.0,18.91891891891892
27758,True,20,20.0,17.6
27794,True,34,34.0,19.058823529411764
27902,True,24,24.0,19.333333333333332
27906,True,36,36.0,17.11111111111111
27970,True,20,20.0,22.2
28014,True,46,46.0,17.91304347826087
28050,True,72,72.0,18.333333333333332
28158,True,40,40.0,19.0
28226,True,65,65.0,20.523076923076925
28350,True,28,28.0,18.857142857142858
28398,True,88,88.0,19.40909090909091
28434,True,42,42.0,18.857142857142858
28482,True,28,28.0,18.571428571428573
28654,True,12,12.0,16.666666666666668
28674,True,80,80.0,18.8
28690,True,48,48.0,19.666666666666668
28782,True,56,56.0,19.142857142857142
28818,True,52,52.0,18.307692307692307
28910,True,18,18.0,17.77777777777778
28926,True,44,44.0,19.454545454545453
28946,True,12,12.0,17.333333333333332
29118,True,88,88.0,18.272727272727273
29166,True,40,40.0,18.4
29202,True,80,80.0,18.25
29250,True,108,108.0,18.37037037037037
29374,True,12,12.0,17.333333333333332
29442,True,38,38.0,18.105263157894736
29550,True,54,54.0,19.25925925925926
29586,True,76,76.0,19.736842105263158
29630,True,100,100.0,18.8
29694,True,44,44.0,19.636363636363637
29698,True,32,32.0,21.625
29806,True,20,20.0,19.6
29842,True,10,10.0,17.6
29886,True,24,24.0,19.0
29934,True,52,52.0,18.615384615384617
29950,True,8,8.0,17.0
29954,True,26,26.0,19.692307692307693
29970,True,48,48.0,19.833333333333332
30018,True,28,28.0,19.428571428571427
30062,True,24,24.0,17.666666666666668
30098,True,30,30.0,19.066666666666666
30206,True,8,8.0,16.0
30210,True,56,56.0,18.142857142857142
30274,True,24,24.0,19.0
30318,True,62,62.0,18.129032258064516
30354,True,36,36.0,17.11111111111111
30462,True,96,96.0,18.0
30530,True,6,6.0,17.333333333333332
30654,True,114,114.0,18.736842105263158
30702,True,42,42.0,19.333333333333332
30738,True,60,60.0,18.933333333333334
30786,True,78,78.0,17.743589743589745
30958,True,40,40.0,20.3
30978,True,106,106.0,20.18867924528302
30994,True,32,32.0,20.5
31086,True,40,40.0,19.0
31122,True,64,64.0,19.75
31214,True,40,40.0,19.6
31230,True,44,44.0,18.0
31250,True,46,46.0,18.782608695652176
31422,True,40,40.0,18.4
31470,True,32,32.0,17.75
31506,True,56,56.0,18.714285714285715
31554,True,16,16.0,19.75
31678,True,28,28.0,17.714285714285715
31746,True,72,72.0,19.555555555555557
31854,True,56,56.0,19.428571428571427
31890,True,64,64.0,17.625
31934,True,4,4.0,18.0
31998,True,40,40.0,19.1
32002,True,28,28.0,19.285714285714285
32110,True,28,28.0,18.285714285714285
32146,True,26,26.0,19.076923076923077
32190,True,144,144.0,19.11111111111111
32238,True,52,52.0,18.307692307692307
32254,True,20,20.0,19.6
32258,True,12,12.0,19.333333333333332
32274,True,42,42.0,19.714285714285715
32322,True,100,100.0,19.32
32366,True,22,22.0,21.818181818181817
32402,True,75,75.0,20.586666666666666
32510,True,50,50.0,18.56
32514,True,40,40.0,19.6
32578,True,34,34.0,19.764705882352942
32622,True,56,56.0,17.714285714285715
32658,True,40,40.0,18.8
32766,True,64,64.0,19.625
32834,True,12,12.0,22.666666666666668
32958,True,36,36.0,19.11111111111111
33006,True,64,64.0,19.5
33042,True,62,62.0,18.258064516129032
33090,True,44,44.0,18.363636363636363
33262,True,28,28.0,17.428571428571427
33282,True,40,40.0,18.4
33298,True,18,18.0,18.22222222222222
33390,True,64,64.0,20.25
33426,True,52,52.0,18.307692307692307
33518,True,34,34.0,19.176470588235293
33534,True,40,40.0,18.9
33554,True,10,10.0,16.8
33726,True,48,48.0,18.0
33774,True,96,96.0,19.0
33810,True,60,60.0,19.333333333333332
33858,True,154,154.0,20.493506493506494
33982,True,20,20.0,18.8
34050,True,48,48.0,18.333333333333332
34158,True,56,56.0,19.142857142857142
34194,True,48,48.0,19.333333333333332
34238,True,48,48.0,17.666666666666668
34302,True,96,96.0,19.833333333333332
34306,True,40,40.0,18.2
34414,True,24,24.0,20.0
34450,True,40,40.0,18.4
34494,True,24,24.0,17.0
34542,True,66,66.0,19.03030303030303
34558,True,64,64.0,19.0
34562,True,24,24.0,20.333333333333332
34578,True,76,76.0,18.105263157894736
34626,True,12,12.0,16.666666666666668
34670,True,34,34.0,17.764705882352942
34706,True,42,42.0,17.904761904761905
34814,True,32,32.0,18.5
34818,True,82,82.0,18.048780487804876
34882,True,32,32.0,20.125
34926,True,40,40.0,18.4
34962,True,52,52.0,20.0
35070,True,44,44.0,21.09090909090909
35138,True,22,22.0,20.727272727272727
35262,True,96,96.0,18.916666666666668
35310,True,78,78.0,19.28205128205128
35346,True,63,63.0,20.19047619047619
35394,True,72,72.0,18.88888888888889
35566,True,14,14.0,18.285714285714285
35586,True,36,36.0,17.11111111111111
35602,True,40,40.0,20.8
35694,True,72,72.0,19.11111111111111
35730,True,56,56.0,17.857142857142858
35822,True,8,8.0,21.0
35838,True,92,92.0,18.91304347826087
35858,True,20,20.0,17.2
36030,True,36,36.0,19.555555555555557
36078,True,52,52.0,20.076923076923077
36114,True,78,78.0,19.692307692307693
36162,True,30,30.0,19.733333333333334
36286,True,30,30.0,18.933333333333334
36354,True,28,28.0,19.714285714285715
36462,True,76,76.0,19.263157894736842
36498,True,64,64.0,19.375
36542,True,22,22.0,19.454545454545453
36606,True,72,72.0,19.555555555555557
36610,True,68,68.0,19.764705882352942
36718,True,28,28.0,19.714285714285715
36754,True,12,12.0,20.0
36798,True,124,124.0,19.096774193548388
36846,True,76,76.0,19.05263157894737
36862,True,26,26.0,18.307692307692307
36866,True,84,84.0,21.714285714285715
36882,True,62,62.0,18.774193548387096
36930,True,136,136.0,18.470588235294116
36974,True,36,36.0,17.77777777777778
37010,True,28,28.0,18.571428571428573
37118,True,16,16.0,17.0
37122,True,88,88.0,19.681818181818183
37186,True,8,8.0,19.0
37230,True,74,74.0,19.56756756756757
37266,True,52,52.0,19.0
37374,True,72,72.0,20.77777777777778
37442,True,50,50.0,18.08
37566,True,20,20.0,19.2
37614,True,44,44.0,18.90909090909091
37650,True,66,66.0,19.09090909090909
37698,True,36,36.0,18.88888888888889
37870,True,68,68.0,19.529411764705884
37890,True,66,66.0,18.303030303030305
37906,True,40,40.0,20.6
37998,True,74,74.0,19.56756756756757
38034,True,54,54.0,18.666666666666668
38126,True,12,12.0,20.0
38142,True,80,80.0,19.5
38162,True,26,26.0,20.0
38334,True,68,68.0,18.705882352941178
38382,True,74,74.0,20.37837837837838
38418,True,70,70.0,20.685714285714287
38466,True,128,128.0,19.375
38590,True,16,16.0,16.5
38658,True,56,56.0,17.857142857142858
38766,True,48,48.0,19.833333333333332
38802,True,78,78.0,20.256410256410255
38846,True,12,12.0,19.333333333333332
38910,True,96,96.0,19.625
38914,True,12,12.0,20.666666666666668
39022,True,28,28.0,20.0
39058,True,48,48.0,18.0
39102,True,36,36.0,20.333333333333332
39150,True,92,92.0,19.217391304347824
39166,True,36,36.0,19.333333333333332
39170,True,28,28.0,18.0
39186,True,66,66.0,18.545454545454547
39234,True,44,44.0,21.0
39278,True,44,44.0,18.90909090909091
39314,True,20,20.0,19.2
39422,True,16,16.0,18.0
39426,True,48,48.0,19.0
39490,True,52,52.0,19.53846153846154
39534,True,56,56.0,18.857142857142858
39570,True,142,142.0,19.52112676056338
39678,True,52,52.0,18.692307692307693
39746,True,6,6.0,20.0
39870,True,116,116.0,18.96551724137931
