trace,L_class_number,commutator_class_number,genus
25022,6,6.0,2
25086,24,24.0,1
25090,18,18.0,2
25198,12,12.0,2
25234,32,32.0,"[[(-6, 30, 90)], array([list([[25901, -2136], [8088, -667]]),
       list([[25421, -1512], [3144, -187]])], dtype=object)]"
25278,24,24.0,"[[(6, 58, 134), (6, 74, 86), (26, 26, 42)], array([list([[-25543, -2192], [3088, 265]]),
       list([[-38455, 15248], [-33232, 13177]]),
       list([[-24951, -3248], [-2512, -327]]),
       list([[-23799, -1712], [-20560, -1479]]),
       list([[-24567, -1136], [-15376, -711]])], dtype=object)]"
25326,32,32.0,2
25342,16,16.0,1
25346,4,4.0,2
25362,82,82.0,1
25410,28,28.0,2
25454,18,18.0,2
25490,12,12.0,2
25598,44,44.0,1
25602,94,94.0,1
25666,48,48.0,1
25710,100,100.0,1
25746,42,42.0,1
25854,32,32.0,1
25922,18,18.0,"[[(-6, 42, 74), (-10, 10, 118)], array([list([[27577, 13392], [-3408, -1655]]),
       list([[45001, 21840], [-39312, -19079]])], dtype=object)]"
26046,46,46.0,"[[(10, 34, 130), (10, 50, 66)], array([list([[-24375, 19888], [2048, -1671]]),
       list([[-24375, -2048], [-19888, -1671]]),
       list([[-24455, -1792], [-21712, -1591]]),
       list([[-38103, 15136], [-30352, 12057]])], dtype=object)]"
26094,36,36.0,1
26130,64,64.0,1
26178,52,52.0,1
26350,32,32.0,2
26370,64,64.0,1
26386,12,12.0,2
26478,28,28.0,"[[(6, 58, 154), (14, 26, 106)], array([list([[-26747, -2312], [3112, 269]]),
       list([[-39275, 14648], [-34312, 12797]]),
       list([[-26899, -1720], [6584, 421]]),
       list([[-36699, 14584], [-25720, 10221]]),
       list([[-25971, -7064], [-1864, -507]]),
       list([[-34931, -9304], [31736, 8453]])], dtype=object)]"
26514,36,36.0,2
26606,40,40.0,2
26622,106,106.0,1
26642,14,14.0,"[[(-6, 6, 146)], array([list([[41629, 20136], [-30984, -14987]]),
       list([[41341, 19704], [-30840, -14699]])], dtype=object)]"
26814,16,16.0,2
26862,54,54.0,1
26898,83,83.0,1
26946,18,18.0,2
27070,82,82.0,1
27138,48,48.0,1
27246,38,38.0,2
27282,40,40.0,"[[(-14, 26, 62), (-10, 10, 122)], array([list([[18349, 16808], [9752, 8933]]),
       list([[18685, 16472], [9752, 8597]]),
       list([[27853, -1672], [9512, -571]])], dtype=object)]"
27326,14,14.0,2
27390,78,78.0,1
27394,12,12.0,2
27502,66,66.0,1
27538,32,32.0,1
27582,92,92.0,1
27630,76,76.0,1
27646,20,20.0,"[[(10, 34, 170), (30, 30, 34)], array([list([[-26783, 14592], [1584, -863]]),
       list([[-26783, -14592], [-1584, -863]])], dtype=object)]"
27650,32,32.0,2
27666,48,48.0,1
27714,74,74.0,1
27758,20,20.0,"[[(6, 66, 114)], array([list([[-27139, -7368], [-2280, -619]]),
       list([[-35779, -9528], [30120, 8021]])], dtype=object)]"
27794,34,34.0,1
27902,24,24.0,"[[(6, 78, 90), (18, 42, 42)], array([list([[-38959, -21216], [20304, 11057]]),
       list([[-27151, 14160], [1440, -751]]),
       list([[-27151, 16992], [1200, -751]]),
       list([[-26671, 22800], [1440, -1231]])], dtype=object)]"
27906,36,36.0,1
27970,20,20.0,"[[(-6, 6, 150)], array([list([[29033, -2256], [13680, -1063]]),
       list([[18953, 16560], [10320, 9017]]),
       list([[28745, 14064], [-1584, -775]]),
       list([[43865, 21456], [-32496, -15895]]),
       list([[28121, -912], [4656, -151]])], dtype=object)]"
28014,46,46.0,1
28050,72,72.0,1
28158,40,40.0,"[[(6, 82, 86), (10, 38, 110), (14, 26, 118), (18, 26, 74)], array([list([[-28559, -1840], [6224, 401]]),
       list([[-38911, 14416], [-29024, 10753]]),
       list([[-43407, 16528], [-40048, 15249]]),
       list([[-32319, 12832], [-10480, 4161]])], dtype=object)]"
28226,65,65.0,1
28350,28,28.0,"[[(6, 70, 106)], array([list([[-27303, 15536], [1840, -1047]]),
       list([[-26503, 18320], [2672, -1847]]),
       list([[-26647, -1936], [-23440, -1703]]),
       list([[-26807, 22480], [1840, -1543]]),
       list([[-26871, -1936], [-20528, -1479]]),
       list([[-38487, -21296], [18320, 10137]])], dtype=object)]"
28398,88,88.0,1
28434,42,42.0,1
28482,28,28.0,"[[(-26, 26, 38), (-6, 38, 86), (-10, 22, 90), (-6, 26, 106)], array([list([[29481, -2128], [13840, -999]]),
       list([[29577, -3472], [9328, -1095]])], dtype=object)]"
28654,12,12.0,1
28674,80,80.0,"[[(-10, 30, 74), (-10, 10, 126)], array([list([[30241, -4928], [9616, -1567]]),
       list([[25313, 17264], [4928, 3361]]),
       list([[29537, -1984], [12848, -863]]),
       list([[32513, 15728], [-7936, -3839]]),
       list([[20577, 18496], [9008, 8097]]),
       list([[32513, -15728], [7936, -3839]]),
       list([[30273, -4976], [9728, -1599]]),
       list([[30273, -9728], [4976, -1599]])], dtype=object)]"
28690,48,48.0,"[[(-6, 54, 66)], array([list([[29501, -1752], [13656, -811]]),
       list([[29477, -1800], [12888, -787]]),
       list([[32477, 15768], [-7800, -3787]]),
       list([[29453, -2040], [11016, -763]]),
       list([[42773, 20760], [-29016, -14083]]),
       list([[28973, -1752], [4680, -283]]),
       list([[23741, 22152], [5304, 4949]]),
       list([[28853, -1704], [2760, -163]])], dtype=object)]"
28782,56,56.0,1
28818,52,52.0,1
28910,18,18.0,2
28926,44,44.0,"[[(10, 50, 74)], array([list([[-27903, 14992], [1904, -1023]]),
       list([[-34319, -6176], [29968, 5393]]),
       list([[-27679, 18128], [1904, -1247]]),
       list([[-31663, 14032], [-6176, 2737]]),
       list([[-27679, 20944], [1648, -1247]]),
       list([[-27615, 21968], [1648, -1311]])], dtype=object)]"
28946,12,12.0,1
29118,88,88.0,1
29166,40,40.0,1
29202,80,80.0,1
29250,108,108.0,1
29374,12,12.0,2
29442,38,38.0,"[[(-6, 14, 134)], array([list([[35169, 14192], [-14192, -5727]])], dtype=object)]"
29550,54,54.0,1
29586,76,76.0,1
29630,100,100.0,"[[(6, 66, 126)], array([list([[-28375, 15456], [2304, -1255]]),
       list([[-28375, -15456], [-2304, -1255]]),
       list([[-29287, -5232], [-1920, -343]]),
       list([[-31735, 12768], [-5232, 2105]]),
       list([[-47527, 20160], [-42192, 17897]]),
       list([[-43447, 18528], [-32400, 13817]]),
       list([[-28951, -864], [-22752, -679]]),
       list([[-42343, 16992], [-31680, 12713]])], dtype=object)]"
29694,44,44.0,1
29698,32,32.0,"[[(-30, 30, 30), (-6, 30, 102)], array([list([[33665, 16176], [-8256, -3967]]),
       list([[20129, 18240], [10560, 9569]]),
       list([[33665, -16176], [8256, -3967]]),
       list([[28769, 27840], [960, 929]])], dtype=object)]"
29806,20,20.0,1
29842,10,10.0,2
29886,24,24.0,"[[(10, 54, 70)], array([list([[-26711, -3536], [-23984, -3175]]),
       list([[-41559, 17296], [-28048, 11673]]),
       list([[-49239, 21808], [-43696, 19353]]),
       list([[-22919, 17296], [9232, -6967]])], dtype=object)]"
29934,52,52.0,1
29950,8,8.0,2
29954,26,26.0,"[[(-10, 34, 70)], array([list([[20017, 18336], [10848, 9937]]),
       list([[20785, 17568], [10848, 9169]]),
       list([[47713, 22896], [-37008, -17759]]),
       list([[39937, 12528], [-31824, -9983]])], dtype=object)]"
29970,48,48.0,1
30018,28,28.0,"[[(-22, 22, 54), (-6, 22, 118)], array([list([[21209, 18160], [10288, 8809]]),
       list([[30345, -1328], [7472, -327]])], dtype=object)]"
30062,24,24.0,1
30098,30,30.0,1
30206,8,8.0,2
30210,56,56.0,"[[(-6, 50, 74), (-6, 10, 146)], array([list([[31793, 15344], [-3280, -1583]]),
       list([[30897, -1840], [11536, -687]]),
       list([[31217, -3280], [9584, -1007]]),
       list([[22385, 15184], [11536, 7825]])], dtype=object)]"
30274,24,24.0,2
30318,62,62.0,1
30354,36,36.0,2
30462,96,96.0,1
30530,6,6.0,2
30654,114,114.0,1
30702,42,42.0,1
30738,60,60.0,"[[(-14, 38, 50), (-10, 18, 106), (-10, 14, 118)], array([list([[36293, 17416], [-11576, -5555]]),
       list([[31021, -1832], [4792, -283]]),
       list([[27685, 25832], [3272, 3053]])], dtype=object)]"
30786,78,78.0,1
30958,40,40.0,1
30978,106,106.0,1
30994,32,32.0,2
31086,40,40.0,1
31122,64,64.0,"[[(-14, 42, 46)], array([list([[32181, -2248], [15160, -1059]]),
       list([[22901, 17368], [10840, 8221]]),
       list([[25589, 17368], [8152, 5533]]),
       list([[27357, 23032], [4472, 3765]]),
       list([[31821, -2840], [7832, -699]]),
       list([[48285, 22712], [-36488, -17163]]),
       list([[31917, -1688], [15032, -795]]),
       list([[27989, 25432], [3448, 3133]])], dtype=object)]"
31214,40,40.0,1
31230,44,44.0,1
31250,46,46.0,1
31422,40,40.0,"[[(6, 70, 122), (10, 38, 134), (10, 42, 106), (22, 38, 42)], array([list([[-48567, 19856], [-41936, 17145]]),
       list([[-29383, -7984], [-7504, -2039]]),
       list([[-31815, -2704], [4624, 393]]),
       list([[-30599, -2576], [-9776, -823]])], dtype=object)]"
31470,32,32.0,"[[(10, 54, 74), (14, 26, 154), (30, 34, 34)], array([list([[-30547, 17192], [1640, -923]]),
       list([[-30443, 19064], [1640, -1027]])], dtype=object)]"
31506,56,56.0,1
31554,16,16.0,"[[(-10, 10, 134)], array([list([[22889, 18256], [10864, 8665]]),
       list([[32137, -2608], [7184, -583]]),
       list([[28153, 13328], [7184, 3401]])], dtype=object)]"
31678,28,28.0,1
31746,72,72.0,1
31854,56,56.0,1
31890,64,64.0,1
31934,4,4.0,2
31998,40,40.0,1
32002,28,28.0,1
32110,28,28.0,1
32146,26,26.0,1
32190,144,144.0,1
32238,52,52.0,"[[(6, 86, 94), (10, 42, 110), (10, 58, 70), (14, 26, 178), (22, 26, 66), (26, 26, 54)], array([list([[-47579, 17768], [-41080, 15341]]),
       list([[-49475, 19592], [-43528, 17237]]),
       list([[-30499, 12392], [4280, -1739]]),
       list([[-30611, -1928], [-25832, -1627]])], dtype=object)]"
32254,20,20.0,1
