trace,admissible,L_class_number,commutator_class_number,walks
18,True,1,1,4.0
46,False,2,0,6.0
62,False,4,0,8.0
66,True,2,1,7.0
82,False,4,0,8.0
110,True,4,2,9.0
126,False,2,0,14.0
130,False,4,0,10.0
146,True,3,1,10.666666666666666
174,False,6,0,11.333333333333334
190,False,8,0,11.0
194,False,6,0,11.333333333333334
210,False,8,0,12.0
238,False,4,0,14.0
254,True,12,2,13.333333333333334
258,True,8,3,12.25
274,False,4,0,16.0
302,False,14,0,13.142857142857142
318,False,4,0,20.0
322,True,14,3,12.857142857142858
338,False,16,0,13.75
366,True,4,2,18.0
382,False,8,0,18.5
386,False,8,0,17.0
402,True,5,3,16.8
430,False,24,0,13.666666666666666
446,False,16,0,15.5
450,False,8,0,18.5
466,False,20,0,15.4
494,False,4,0,25.0
510,True,18,4,16.22222222222222
514,False,12,0,19.0
530,False,8,0,21.0
558,False,20,0,16.4
574,False,12,0,22.333333333333332
578,True,24,4,15.583333333333334
594,False,16,0,19.0
622,False,8,0,23.0
638,False,16,0,19.25
642,False,8,0,24.0
658,False,8,0,22.5
686,False,30,0,16.933333333333334
702,True,20,4,18.0
706,False,16,0,19.25
722,False,40,0,16.6
750,True,12,6,19.666666666666668
766,False,20,0,21.6
770,False,24,0,19.5
786,True,7,5,22.857142857142858
814,False,24,0,21.166666666666668
830,False,20,0,21.0
834,True,16,2,21.75
850,False,36,0,19.555555555555557
878,False,8,0,28.5
894,False,8,0,33.0
898,False,26,0,19.076923076923077
914,False,8,0,27.0
942,False,20,0,24.8
958,False,40,0,19.4
962,False,16,0,24.5
978,False,28,0,21.571428571428573
1006,True,10,0,27.6
1022,False,32,0,22.875
1026,True,24,9,20.75
1042,True,24,4,20.166666666666668
1070,False,60,0,18.733333333333334
1086,False,16,0,24.0
1090,False,48,0,19.916666666666668
1106,False,24,0,27.0
1134,True,6,4,32.666666666666664
1150,False,36,0,21.444444444444443
1154,False,23,0,23.652173913043477
1170,True,16,6,25.25
1198,False,56,0,19.928571428571427
1214,False,16,0,32.0
1218,False,16,0,27.75
1234,False,40,0,23.1
1262,True,20,2,24.4
1278,True,24,4,26.833333333333332
1282,False,40,0,22.5
1298,True,23,7,23.304347826086957
1326,False,22,0,28.90909090909091
1342,False,16,0,34.25
1346,False,32,0,23.75
1362,False,24,0,30.666666666666668
1390,False,20,0,26.8
1406,False,32,0,24.0
1410,False,16,0,31.0
1426,False,16,0,28.75
1454,False,44,0,24.454545454545453
1470,True,52,12,21.384615384615383
1474,False,24,0,26.833333333333332
1490,False,64,0,23.125
1518,True,16,8,28.0
1534,False,36,0,27.77777777777778
1538,False,48,0,23.583333333333332
1554,True,8,4,37.0
1582,False,72,0,21.833333333333332
1598,False,48,0,23.583333333333332
1602,True,50,11,22.6
1618,False,72,0,22.77777777777778
1646,False,20,0,28.2
1662,False,16,0,34.25
1666,False,24,0,27.666666666666668
1682,False,16,0,31.5
1710,False,36,0,30.444444444444443
1726,True,32,0,29.5
1730,False,64,0,22.375
1746,False,36,0,28.444444444444443
1774,False,16,0,32.0
1790,False,80,0,22.65
1794,True,24,4,32.166666666666664
1810,False,20,0,31.6
1838,False,64,0,25.5
1854,False,20,0,32.0
1858,False,32,0,31.875
1874,False,84,0,23.333333333333332
1902,True,20,10,28.2
1918,False,24,0,37.0
1922,False,32,0,29.0
1938,True,22,10,27.636363636363637
1966,False,76,0,24.31578947368421
1982,True,96,10,22.166666666666668
1986,False,16,0,36.25
2002,False,72,0,24.944444444444443
2030,False,26,0,29.23076923076923
2046,True,28,4,34.714285714285715
2050,True,112,6,21.857142857142858
2066,False,24,0,30.666666666666668
2094,False,54,0,27.333333333333332
2110,False,48,0,27.083333333333332
2114,False,52,0,27.692307692307693
2130,False,80,0,24.65
2158,True,40,8,26.2
2174,False,24,0,35.166666666666664
2178,False,32,0,29.5
2194,True,20,2,33.4
2222,False,72,0,26.833333333333332
2238,True,32,4,33.75
2242,False,32,0,33.125
2258,False,80,0,26.55
2286,True,12,4,38.666666666666664
2302,True,112,10,23.821428571428573
2306,True,84,11,23.976190476190474
2322,True,16,10,34.75
2350,False,98,0,25.591836734693878
2366,False,24,0,37.0
2370,True,32,2,35.875
2386,False,60,0,31.733333333333334
2414,True,42,8,27.142857142857142
2430,False,36,0,32.44444444444444
2434,False,32,0,33.75
2450,True,40,2,29.2
2478,False,56,0,29.714285714285715
2494,False,80,0,26.65
2498,False,52,0,28.23076923076923
2514,False,48,0,32.083333333333336
2542,False,32,0,31.0
2558,True,60,0,32.06666666666667
2562,True,48,10,29.666666666666668
2578,False,32,0,32.75
2606,False,64,0,31.5625
2622,False,32,0,33.375
2626,True,120,6,24.166666666666668
2642,False,80,0,28.6
2670,True,24,14,33.333333333333336
2686,False,32,0,38.625
2690,False,48,0,32.0
2706,True,13,11,38.46153846153846
2734,False,70,0,31.714285714285715
2750,False,64,0,31.5
2754,False,32,0,32.625
2770,False,156,0,24.41025641025641
2798,False,28,0,35.57142857142857
2814,True,40,8,34.6
2818,False,48,0,35.5
2834,False,40,0,29.8
2862,False,88,0,28.5
2878,False,84,0,27.333333333333332
2882,True,80,2,28.8
2898,False,80,0,28.8
2926,False,24,0,34.666666666666664
2942,False,56,0,29.857142857142858
2946,False,40,0,32.8
2962,False,32,0,36.25
2990,False,180,0,24.555555555555557
3006,True,52,8,32.30769230769231
3010,False,40,0,39.1
3026,False,96,0,30.0
3054,True,24,12,35.333333333333336
3070,False,88,0,30.5
3074,False,56,0,35.214285714285715
3090,True,24,8,38.666666666666664
3118,False,80,0,32.0
3134,False,80,0,28.95
3138,True,84,18,28.285714285714285
3154,False,84,0,30.666666666666668
3182,False,24,0,41.166666666666664
3198,False,56,0,31.714285714285715
3202,False,84,0,27.80952380952381
3218,False,32,0,36.375
3246,False,56,0,35.42857142857143
3262,False,64,0,32.5625
3266,False,32,0,37.875
3282,False,64,0,37.375
3310,True,66,8,29.515151515151516
3326,False,96,0,29.625
3330,True,96,16,28.375
3346,True,32,4,36.25
3374,False,76,0,34.05263157894737
3390,False,52,0,32.38461538461539
3394,False,80,0,30.85
3410,False,160,0,27.55
3438,True,28,12,36.857142857142854
3454,False,48,0,37.666666666666664
3458,False,64,0,33.75
3474,True,24,10,37.333333333333336
3502,False,144,0,27.805555555555557
3518,False,80,0,34.25
3522,False,48,0,35.166666666666664
3538,False,112,0,30.571428571428573
3566,True,34,2,37.05882352941177
3582,True,72,12,33.611111111111114
3586,False,48,0,41.666666666666664
3602,True,60,12,30.066666666666666
3630,False,90,0,32.4
3646,False,56,0,34.285714285714285
3650,False,112,0,30.964285714285715
3666,False,100,0,30.24
3694,False,32,0,38.75
3710,False,84,0,31.523809523809526
3714,False,48,0,33.0
3730,False,52,0,34.30769230769231
3758,False,152,0,29.289473684210527
3774,True,64,6,33.3125
3778,False,64,0,35.625
3794,False,64,0,39.75
3822,True,24,12,41.0
3838,False,96,0,33.333333333333336
3842,False,104,0,31.692307692307693
3858,True,32,10,39.125
3886,False,182,0,27.45054945054945
3902,False,80,0,30.8
3906,True,32,6,43.125
3922,False,180,0,28.177777777777777
3950,False,48,0,36.416666666666664
3966,False,32,0,42.25
3970,False,88,0,32.54545454545455
3986,False,32,0,40.5
4014,False,56,0,39.357142857142854
4030,True,200,6,27.38
4034,False,96,0,30.708333333333332
4050,False,96,0,34.0
4078,False,40,0,38.2
4094,False,128,0,30.625
4098,True,80,26,32.0
4114,False,32,0,40.125
4142,False,168,0,29.714285714285715
4158,False,32,0,46.25
4162,False,112,0,33.214285714285715
4178,False,160,0,31.825
4206,True,30,12,40.4
4222,False,80,0,34.75
4226,False,48,0,41.0
4242,True,32,12,39.625
4270,False,112,0,36.142857142857146
4286,True,80,2,38.15
4290,False,80,0,32.85
4306,False,108,0,35.333333333333336
4334,False,42,0,37.23809523809524
4350,True,72,12,37.333333333333336
4354,True,132,5,30.21212121212121
4370,False,48,0,39.833333333333336
4398,False,140,0,30.571428571428573
4414,False,48,0,41.0
4418,False,128,0,31.40625
4434,False,80,0,35.85
4462,True,60,4,34.733333333333334
4478,False,48,0,45.333333333333336
4482,False,48,0,39.333333333333336
4498,True,72,10,32.111111111111114
4526,False,80,0,39.45
4542,True,120,28,31.1
4546,False,56,0,38.357142857142854
4562,False,144,0,34.111111111111114
4590,True,56,20,34.07142857142857
4606,True,126,8,33.111111111111114
4610,True,120,2,34.56666666666667
4626,True,34,20,38.0
4654,False,120,0,35.46666666666667
4670,False,64,0,43.0
4674,True,56,8,43.785714285714285
4690,False,160,0,33.175
4718,True,40,0,45.0
4734,False,60,0,35.666666666666664
4738,False,96,0,34.0
4754,True,64,8,35.5625
4782,False,136,0,33.35294117647059
4798,False,112,0,34.0
4802,False,56,0,42.357142857142854
4818,False,80,0,40.95
4846,False,32,0,44.375
4862,True,176,12,30.022727272727273
4866,True,96,12,34.208333333333336
4882,False,48,0,38.333333333333336
4910,False,168,0,33.45238095238095
4926,False,48,0,41.5
4930,True,192,10,29.583333333333332
4946,False,88,0,41.81818181818182
4974,True,24,12,44.5
4990,False,128,0,33.09375
4994,False,48,0,41.833333333333336
5010,True,44,16,40.36363636363637
5038,False,204,0,31.137254901960784
5054,False,96,0,37.583333333333336
5058,False,48,0,43.666666666666664
5074,False,240,0,29.816666666666666
5102,False,80,0,33.75
5118,True,140,24,32.857142857142854
5122,False,176,0,30.977272727272727
5138,False,32,0,46.875
5166,False,88,0,38.18181818181818
5182,False,72,0,43.666666666666664
5186,True,198,19,30.09090909090909
5202,False,168,0,31.61904761904762
5230,False,72,0,37.333333333333336
5246,False,48,0,43.083333333333336
5250,False,64,0,39.375
5266,False,48,0,40.75
5294,False,216,0,30.5
5310,True,88,8,38.36363636363637
5314,False,64,0,39.9375
5330,False,276,0,29.304347826086957
5358,True,24,10,49.666666666666664
5374,False,96,0,38.75
5378,False,160,0,32.7
5394,True,36,12,43.333333333333336
5422,False,152,0,34.89473684210526
5438,False,168,0,30.88095238095238
5442,True,64,6,43.0625
5458,False,128,0,39.90625
5486,False,64,0,36.1875
5502,False,48,0,45.166666666666664
5506,False,72,0,38.888888888888886
