trace,admissible,L_class_number,commutator_class_number,walks
100078,True,96,96.0,23.041666666666668
100098,True,134,134.0,22.149253731343283
100114,True,60,60.0,22.4
100206,True,124,124.0,20.322580645161292
100242,True,122,122.0,22.360655737704917
100334,True,64,64.0,22.0
100350,True,216,216.0,21.14814814814815
100370,True,102,102.0,22.0
100542,True,56,56.0,20.714285714285715
100590,True,168,168.0,21.285714285714285
100626,True,108,108.0,20.88888888888889
100674,True,56,56.0,23.142857142857142
100798,True,78,78.0,21.128205128205128
100866,True,136,136.0,21.11764705882353
100974,True,144,144.0,20.5
101010,True,160,160.0,20.65
101054,True,20,20.0,21.2
101118,True,96,96.0,22.166666666666668
101122,True,32,32.0,21.75
101230,True,48,48.0,19.833333333333332
101266,True,58,58.0,20.689655172413794
101310,True,364,364.0,22.32967032967033
101358,True,136,136.0,21.058823529411764
101374,True,132,132.0,21.818181818181817
101378,True,62,62.0,21.032258064516128
101394,True,136,136.0,21.352941176470587
101442,True,212,212.0,21.169811320754718
101486,True,24,24.0,19.333333333333332
101522,True,94,94.0,21.74468085106383
101630,True,52,52.0,21.076923076923077
101634,True,162,162.0,21.308641975308642
101698,True,70,70.0,21.542857142857144
101742,True,136,136.0,21.823529411764707
101778,True,120,120.0,21.333333333333332
101886,True,100,100.0,20.88
101954,True,44,44.0,22.181818181818183
102078,True,74,74.0,23.027027027027028
102126,True,150,150.0,21.706666666666667
102162,True,76,76.0,21.36842105263158
102210,True,116,116.0,21.586206896551722
102382,True,72,72.0,21.77777777777778
102402,True,389,389.0,22.832904884318765
102418,True,74,74.0,20.10810810810811
102510,True,174,174.0,21.080459770114942
102546,True,132,132.0,21.848484848484848
102638,True,84,84.0,21.714285714285715
102654,True,120,120.0,23.733333333333334
102674,True,60,60.0,21.466666666666665
102846,True,220,220.0,20.87272727272727
102894,True,118,118.0,21.084745762711865
102930,True,192,192.0,21.041666666666668
102978,True,256,256.0,21.125
103102,True,76,76.0,22.63157894736842
103170,True,92,92.0,20.17391304347826
103278,True,68,68.0,21.41176470588235
103314,True,124,124.0,22.903225806451612
103358,True,126,126.0,22.476190476190474
103422,True,164,164.0,22.24390243902439
103426,True,128,128.0,22.65625
103534,True,94,94.0,21.48936170212766
103570,True,116,116.0,21.24137931034483
103614,True,56,56.0,22.571428571428573
103662,True,180,180.0,21.57777777777778
103678,True,88,88.0,21.545454545454547
103682,True,121,121.0,23.041322314049587
103698,True,124,124.0,22.0
103746,True,48,48.0,20.5
103790,True,118,118.0,21.016949152542374
103826,True,90,90.0,20.933333333333334
103934,True,60,60.0,20.8
103938,True,88,88.0,20.818181818181817
104002,True,156,156.0,21.871794871794872
104046,True,124,124.0,21.93548387096774
104082,True,192,192.0,21.375
104190,True,240,240.0,21.016666666666666
104258,True,40,40.0,20.3
104382,True,228,228.0,21.228070175438596
104430,True,172,172.0,20.976744186046513
104466,True,96,96.0,20.291666666666668
104514,True,134,134.0,21.940298507462686
104686,True,40,40.0,21.8
104706,True,238,238.0,21.34453781512605
104722,True,74,74.0,22.972972972972972
104814,True,124,124.0,22.967741935483872
104850,True,152,152.0,22.263157894736842
104942,True,36,36.0,23.22222222222222
104958,True,108,108.0,20.51851851851852
104978,True,130,130.0,24.153846153846153
105150,True,62,62.0,20.774193548387096
105198,True,146,146.0,22.027397260273972
105234,True,128,128.0,21.3125
105282,True,72,72.0,22.11111111111111
105406,True,92,92.0,21.73913043478261
105474,True,120,120.0,21.0
105582,True,308,308.0,22.181818181818183
105618,True,148,148.0,21.56756756756757
105662,True,40,40.0,20.4
105726,True,92,92.0,22.52173913043478
105730,True,70,70.0,23.2
105838,True,64,64.0,20.625
105874,True,28,28.0,22.0
105918,True,216,216.0,21.11111111111111
105966,True,110,110.0,21.163636363636364
105982,True,32,32.0,20.0
105986,True,60,60.0,21.6
106002,True,232,232.0,22.482758620689655
106050,True,210,210.0,20.685714285714287
106094,True,68,68.0,22.235294117647058
106130,True,56,56.0,22.142857142857142
106238,True,84,84.0,20.38095238095238
106242,True,72,72.0,21.444444444444443
106306,True,28,28.0,21.142857142857142
106350,True,196,196.0,21.224489795918366
106386,True,86,86.0,21.023255813953487
106494,True,216,216.0,20.944444444444443
106562,True,108,108.0,21.40740740740741
106686,True,102,102.0,23.529411764705884
106734,True,140,140.0,21.02857142857143
106770,True,268,268.0,21.82089552238806
106818,True,82,82.0,21.317073170731707
106990,True,180,180.0,21.42222222222222
107010,True,148,148.0,20.54054054054054
107026,True,52,52.0,20.46153846153846
107118,True,92,92.0,22.782608695652176
107154,True,88,88.0,21.681818181818183
107246,True,104,104.0,22.46153846153846
107262,True,208,208.0,22.173076923076923
107282,True,56,56.0,21.285714285714285
107454,True,148,148.0,23.08108108108108
107502,True,132,132.0,22.181818181818183
