"trace","L_class_number","commutator_class_number","genus"
25022,6,6.,2
25086,24,24.,1
25090,18,18.,2
25198,12,12.,2
25234,32,32.,2
25278,24,24.,2
25326,32,32.,2
25342,16,16.,1
25346,4,4.,2
25362,82,82.,1
25410,28,28.,2
25454,18,18.,2
25490,12,12.,2
25598,44,44.,1
25602,94,94.,1
25666,48,48.,1
25710,100,100.,1
25746,42,42.,1
25854,32,32.,1
25922,18,18.,2
26046,46,46.,2
26094,36,36.,1
26130,64,64.,1
26178,52,52.,1
26350,32,32.,2
26370,64,64.,1
26386,12,12.,2
26478,28,28.,2
26514,36,36.,2
26606,40,40.,2
26622,106,106.,1
26642,14,14.,2
26814,16,16.,2
26862,54,54.,1
26898,83,83.,1
26946,18,18.,2
27070,82,82.,1
27138,48,48.,1
27246,38,38.,2
27282,40,40.,2
27326,14,14.,2
27390,78,78.,1
27394,12,12.,2
27502,66,66.,1
27538,32,32.,1
27582,92,92.,1
27630,76,76.,1
27646,20,20.,2
27650,32,32.,2
27666,48,48.,1
27714,74,74.,1
27758,20,20.,2
27794,34,34.,1
27902,24,24.,"[[(6, 78, 90), (18, 42, 42)], array([list([[-38959, -21216], [20304, 11057]]),
       list([[-27151, 14160], [1440, -751]]),
       list([[-27151, 16992], [1200, -751]]),
       list([[-26671, 22800], [1440, -1231]])], dtype=object)]"
27906,36,36.,1
27970,20,20.,2
28014,46,46.,1
28050,72,72.,1
28158,40,40.,2
28226,65,65.,1
28350,28,28.,2
28398,88,88.,1
28434,42,42.,1
28482,28,28.,2
28654,12,12.,1
28674,80,80.,2
28690,48,48.,2
28782,56,56.,1
28818,52,52.,1
28910,18,18.,2
28926,44,44.,2
28946,12,12.,1
29118,88,88.,1
29166,40,40.,1
29202,80,80.,1
29250,108,108.,1
29374,12,12.,2
29442,38,38.,2
29550,54,54.,1
29586,76,76.,1
29630,100,100.,"[[(6, 66, 126)], array([list([[-28375, 15456], [2304, -1255]]),
       list([[-28375, -15456], [-2304, -1255]]),
       list([[-29287, -5232], [-1920, -343]]),
       list([[-31735, 12768], [-5232, 2105]]),
       list([[-47527, 20160], [-42192, 17897]]),
       list([[-43447, 18528], [-32400, 13817]]),
       list([[-28951, -864], [-22752, -679]]),
       list([[-42343, 16992], [-31680, 12713]])], dtype=object)]"
29694,44,44.,1
29698,32,32.,2
29806,20,20.,1
29842,10,10.,2
29886,24,24.,2
29934,52,52.,1
29950,8,8.,2
29954,26,26.,2
29970,48,48.,1
30018,28,28.,2
30062,24,24.,1
30098,30,30.,1
30206,8,8.,2
30210,56,56.,2
30274,24,24.,2
30318,62,62.,1
30354,36,36.,2
30462,96,96.,1
30530,6,6.,2
30654,114,114.,1
30702,42,42.,1
30738,60,60.,2
30786,78,78.,1
30958,40,40.,1
30978,106,106.,1
30994,32,32.,2
31086,40,40.,1
31122,64,64.,2
31214,40,40.,1
31230,44,44.,1
31250,46,46.,1
31422,40,40.,2
31470,32,32.,"[[(10, 54, 74), (14, 26, 154), (30, 34, 34)], array([list([[-30547, 17192], [1640, -923]]),
       list([[-30443, 19064], [1640, -1027]])], dtype=object)]"
31506,56,56.,1
31554,16,16.,2
31678,28,28.,1
31746,72,72.,1
31854,56,56.,1
31890,64,64.,1
31934,4,4.,2
31998,40,40.,1
32002,28,28.,1
32110,28,28.,1
32146,26,26.,1
32190,144,144.,1
32238,52,52.,2
32254,20,20.,1
32258,12,12.,2
32274,42,42.,1
32322,100,100.,1
32366,22,22.,1
32402,75,75.,1
32510,50,50.,1
32514,40,40.,2
32578,34,34.,2
32622,56,56.,1
32658,40,40.,1
32766,64,64.,1
32834,12,12.,2
32958,36,36.,2
33006,64,64.,1
33042,62,62.,2
33090,44,44.,2
33262,28,28.,2
33282,40,40.,2
33298,18,18.,1
33390,64,64.,1
33426,52,52.,1
33518,34,34.,2
33534,40,40.,1
33554,10,10.,1
33726,48,48.,2
33774,96,96.,1
33810,60,60.,1
33858,154,154.,1
33982,20,20.,2
34050,48,48.,2
34158,56,56.,2
34194,48,48.,1
34238,48,48.,1
34302,96,96.,1
34306,40,40.,2
34414,24,24.,1
34450,40,40.,1
34494,24,24.,2
34542,66,66.,1
34558,64,64.,1
34562,24,24.,2
34578,76,76.,1
34626,12,12.,2
34670,34,34.,2
34706,42,42.,1
34814,32,32.,1
34818,82,82.,1
34882,32,32.,2
34926,40,40.,2
34962,52,52.,1
35070,44,44.,1
35138,22,22.,2
35262,96,96.,1
35310,78,78.,1
35346,63,63.,1
35394,72,72.,2
35566,14,14.,2
35586,36,36.,1
35602,40,40.,1
35694,72,72.,1
35730,56,56.,2
35822,8,8.,1
35838,92,92.,2
35858,20,20.,1
36030,36,36.,2
36078,52,52.,2
36114,78,78.,2
36162,30,30.,2
36286,30,30.,2
36354,28,28.,2
36462,76,76.,1
36498,64,64.,1
36542,22,22.,2
36606,72,72.,1
36610,68,68.,2
36718,28,28.,2
36754,12,12.,2
36798,124,124.,1
36846,76,76.,1
36862,26,26.,1
36866,84,84.,1
36882,62,62.,1
36930,136,136.,1
36974,36,36.,1
37010,28,28.,1
37118,16,16.,2
37122,88,88.,2
37186,8,8.,2
37230,74,74.,1
37266,52,52.,1
37374,72,72.,1
37442,50,50.,1
37566,20,20.,2
37614,44,44.,1
37650,66,66.,1
37698,36,36.,2
37870,68,68.,1
37890,66,66.,2
37906,40,40.,1
37998,74,74.,1
38034,54,54.,1
38126,12,12.,2
38142,80,80.,1
38162,26,26.,2
38334,68,68.,1
38382,74,74.,1
38418,70,70.,1
38466,128,128.,1
38590,16,16.,2
38658,56,56.,1
38766,48,48.,2
38802,78,78.,1
38846,12,12.,2
38910,96,96.,1
38914,12,12.,2
39022,28,28.,1
39058,48,48.,1
39102,36,36.,2
39150,92,92.,1
39166,36,36.,1
39170,28,28.,1
39186,66,66.,1
39234,44,44.,2
39278,44,44.,1
39314,20,20.,2
39422,16,16.,2
39426,48,48.,2
39490,52,52.,1
39534,56,56.,1
39570,142,142.,1
39678,52,52.,1
39746,6,6.,2
39870,116,116.,1
39918,52,52.,1
39954,48,48.,2
40002,136,136.,0
40174,52,52.,0
40194,50,50.,0
40210,40,40.,0
40302,96,96.,0
40338,70,70.,0
40430,72,72.,0
40446,28,28.,0
40466,24,24.,0
40638,28,28.,0
40686,72,72.,0
40722,58,58.,0
40770,36,36.,0
40894,60,60.,0
40962,128,128.,0
41070,72,72.,0
41106,68,68.,0
41150,8,8.,0
41214,68,68.,0
41218,74,74.,0
41326,24,24.,0
41362,44,44.,0
41406,88,88.,0
41454,72,72.,0
41470,44,44.,0
41474,36,36.,0
41490,76,76.,0
41538,64,64.,0
41582,38,38.,0
41618,66,66.,0
41726,58,58.,0
41730,44,44.,0
41794,4,4.,0
41838,80,80.,0
41874,70,70.,0
41982,60,60.,0
42050,106,106.,0
42174,32,32.,0
42222,76,76.,0
42258,84,84.,0
42306,28,28.,0
42478,24,24.,0
42498,100,100.,0
42514,50,50.,0
42606,60,60.,0
42642,46,46.,0
42734,24,24.,0
42750,160,160.,0
42770,84,84.,0
42942,134,134.,0
42990,88,88.,0
43026,56,56.,0
43074,50,50.,0
43198,16,16.,0
43266,149,149.,0
43374,44,44.,0
43410,82,82.,0
43454,94,94.,0
43518,52,52.,0
43522,8,8.,0
43630,48,48.,0
43666,22,22.,0
43710,60,60.,0
43758,92,92.,0
43774,18,18.,0
43778,10,10.,0
43794,68,68.,0
43842,54,54.,0
43886,30,30.,0
43922,10,10.,0
44030,24,24.,0
44034,46,46.,0
44098,52,52.,0
44142,36,36.,0
44178,110,110.,0
44286,40,40.,0
44354,10,10.,0
44478,100,100.,0
