"Trace","Admissible","Matrix","Decomposition","Length of Walk","Final Position"
18,"True","{{13, 8}, {8, 5}}","{{1, -1}, {-1, 1}, 1}",4,"{0, 0}"
66,"True","{{57, 32}, {16, 9}}","{{2, -2}, {-1, 1}, 1}",6,"{0, 0}"
66,"True","{{65, 8}, {8, 1}}","{{4}, {4}, 1}",8,"{4, 4}"
82,"False","{{61, 40}, {32, 21}}","{{1, -1}, {-5, 1}, 1}",8,"{0, -4}"
82,"False","{{61, 32}, {40, 21}}","{{1, -5}, {-1, 1}, 1}",8,"{-4, 0}"
82,"False","{{69, 56}, {16, 13}}","{{2, -1, -1}, {2, 1, 1}, 1}",8,"{0, 4}"
82,"False","{{69, 16}, {56, 13}}","{{1, 1, 2}, {-1, -1, 2}, 1}",8,"{4, 0}"
130,"False","{{97, 80}, {40, 33}}","{{1, 1, -1, -1}, {1, 1, 1, 1}, 1}",8,"{0, 4}"
130,"False","{{97, 40}, {80, 33}}","{{1, 1, 1, 1}, {-1, -1, 1, 1}, 1}",8,"{4, 0}"
130,"False","{{129, 16}, {8, 1}}","{{8}, {4}, 1}",12,"{8, 4}"
130,"False","{{129, 8}, {16, 1}}","{{4}, {8}, 1}",12,"{4, 8}"
146,"True","{{133, 72}, {24, 13}}","{{3, -3}, {-1, 1}, 1}",8,"{0, 0}"
146,"True","{{109, 72}, {56, 37}}","{{1, -1}, {-9, 1}, 1}",12,"{0, -8}"
146,"True","{{109, 56}, {72, 37}}","{{1, -9}, {-1, 1}, 1}",12,"{-8, 0}"
194,"False","{{169, 48}, {88, 25}}","{{1, -1}, {-6, 2}, 1}",10,"{0, -4}"
194,"False","{{169, 88}, {48, 25}}","{{2, -6}, {-1, 1}, 1}",10,"{-4, 0}"
194,"False","{{153, 112}, {56, 41}}","{{1, -1, 1, -1}, {1, 1, 1, 1}, 1}",8,"{0, 4}"
194,"False","{{153, 56}, {112, 41}}","{{1, 1, 1, 1}, {-1, 1, -1, 1}, 1}",8,"{4, 0}"
194,"False","{{193, 24}, {8, 1}}","{{12}, {4}, 1}",16,"{12, 4}"
194,"False","{{193, 8}, {24, 1}}","{{4}, {12}, 1}",16,"{4, 12}"
210,"False","{{157, 104}, {80, 53}}","{{1, -1}, {-13, 1}, 1}",16,"{0, -12}"
210,"False","{{157, 80}, {104, 53}}","{{1, -13}, {-1, 1}, 1}",16,"{-12, 0}"
210,"False","{{205, 64}, {16, 5}}","{{6, -1, -1}, {1, 1, 2}, 1}",12,"{4, 4}"
210,"False","{{173, 80}, {80, 37}}","{{1, 3}, {3, 1}, 1}",8,"{4, 4}"
210,"False","{{205, 16}, {64, 5}}","{{2, 1, 1}, {-1, -1, 6}, 1}",12,"{4, 4}"
210,"False","{{197, 160}, {16, 13}}","{{6, -1, -1}, {2, 1, 1}, 1}",12,"{4, 4}"
210,"False","{{197, 80}, {32, 13}}","{{3, 1}, {3, 1}, 1}",8,"{4, 4}"
210,"False","{{197, 16}, {160, 13}}","{{1, 1, 2}, {-1, -1, 6}, 1}",12,"{4, 4}"
258,"True","{{241, 128}, {32, 17}}","{{4, -4}, {-1, 1}, 1}",10,"{0, 0}"
258,"True","{{177, 128}, {112, 81}}","{{1, -1, 1, -1}, {-1, -1, 1, 1}, 1}",8,"{0, 0}"
258,"True","{{241, 64}, {64, 17}}","{{2, -2}, {-2, 2}, 1}",8,"{0, 0}"
258,"True","{{233, 104}, {56, 25}}","{{2, 2}, {3, 1}, 1}",8,"{4, 4}"
258,"True","{{233, 56}, {104, 25}}","{{1, 3}, {2, 2}, 1}",8,"{4, 4}"
258,"True","{{257, 32}, {8, 1}}","{{16}, {4}, 1}",20,"{16, 4}"
258,"True","{{257, 16}, {16, 1}}","{{8}, {8}, 1}",16,"{8, 8}"
258,"True","{{257, 8}, {32, 1}}","{{4}, {16}, 1}",20,"{4, 16}"
274,"False","{{205, 136}, {104, 69}}","{{1, -1}, {-17, 1}, 1}",20,"{0, -16}"
274,"False","{{205, 104}, {136, 69}}","{{1, -17}, {-1, 1}, 1}",20,"{-16, 0}"
274,"False","{{229, 184}, {56, 45}}","{{2, -1, -1}, {6, 1, 1}, 1}",12,"{0, 8}"
274,"False","{{229, 56}, {184, 45}}","{{1, 1, 6}, {-1, -1, 2}, 1}",12,"{8, 0}"
322,"True","{{281, 80}, {144, 41}}","{{1, -1}, {-10, 2}, 1}",14,"{0, -8}"
322,"True","{{281, 144}, {80, 41}}","{{2, -10}, {-1, 1}, 1}",14,"{-8, 0}"
322,"True","{{313, 88}, {32, 9}}","{{5, -1}, {-2, 2}, 1}",10,"{4, 0}"
322,"True","{{313, 32}, {88, 9}}","{{2, -2}, {-1, 5}, 1}",10,"{0, 4}"
322,"True","{{305, 216}, {24, 17}}","{{6, -1, -1}, {1, 2, 1}, 1}",12,"{4, 4}"
322,"True","{{233, 144}, {144, 89}}","{{1, -1, 1, -1}, {-1, 1, -1, 1}, 1}",8,"{0, 0}"
322,"True","{{305, 24}, {216, 17}}","{{1, 2, 1}, {-1, -1, 6}, 1}",12,"{4, 4}"
322,"True","{{281, 72}, {160, 41}}","{{1, -5}, {-2, 2}, 1}",10,"{-4, 0}"
322,"True","{{281, 160}, {72, 41}}","{{2, -2}, {-5, 1}, 1}",10,"{0, -4}"
322,"True","{{281, 240}, {48, 41}}","{{3, -1, -1, -1}, {-3, 1, 1, 1}, 1}",12,"{0, 0}"
322,"True","{{281, 48}, {240, 41}}","{{1, 1, 1, -3}, {-1, -1, -1, 3}, 1}",12,"{0, 0}"
322,"True","{{305, 72}, {72, 17}}","{{2, 2}, {2, 2}, 1}",8,"{4, 4}"
322,"True","{{321, 40}, {8, 1}}","{{20}, {4}, 1}",24,"{20, 4}"
322,"True","{{321, 8}, {40, 1}}","{{4}, {20}, 1}",24,"{4, 20}"
338,"False","{{309, 56}, {160, 29}}","{{1, -1}, {-7, 3}, 1}",12,"{0, -4}"
338,"False","{{309, 160}, {56, 29}}","{{3, -7}, {-1, 1}, 1}",12,"{-4, 0}"
338,"False","{{253, 168}, {128, 85}}","{{1, -1}, {-21, 1}, 1}",24,"{0, -20}"
338,"False","{{253, 128}, {168, 85}}","{{1, -21}, {-1, 1}, 1}",24,"{-20, 0}"
338,"False","{{317, 208}, {32, 21}}","{{5, -1}, {-5, 1}, 1}",12,"{4, -4}"
338,"False","{{317, 32}, {208, 21}}","{{1, -5}, {-1, 5}, 1}",12,"{-4, 4}"
338,"False","{{237, 176}, {136, 101}}","{{1, 4, -1}, {-2, 1, 1}, 1}",10,"{4, 0}"
338,"False","{{237, 136}, {176, 101}}","{{1, 1, -2}, {-1, 4, 1}, 1}",10,"{0, 4}"
338,"False","{{253, 192}, {112, 85}}","{{1, -4, -1}, {2, 1, 1}, 1}",10,"{-4, 4}"
338,"False","{{253, 112}, {192, 85}}","{{1, 1, 2}, {-1, -4, 1}, 1}",10,"{4, -4}"
338,"False","{{333, 104}, {16, 5}}","{{10, -1, -1}, {1, 1, 2}, 1}",16,"{8, 4}"
338,"False","{{301, 48}, {232, 37}}","{{1, 1, 2}, {-1, -2, 3}, 1}",10,"{4, 0}"
338,"False","{{301, 232}, {48, 37}}","{{3, -2, -1}, {2, 1, 1}, 1}",10,"{0, 4}"
338,"False","{{333, 16}, {104, 5}}","{{2, 1, 1}, {-1, -1, 10}, 1}",16,"{4, 8}"
338,"False","{{325, 264}, {16, 13}}","{{10, -1, -1}, {2, 1, 1}, 1}",16,"{8, 4}"
338,"False","{{325, 16}, {264, 13}}","{{1, 1, 2}, {-1, -1, 10}, 1}",16,"{4, 8}"
386,"False","{{345, 136}, {104, 41}}","{{2, 1, 1}, {-1, -4, 1}, 1}",10,"{4, -4}"
386,"False","{{345, 104}, {136, 41}}","{{1, -4, -1}, {1, 1, 2}, 1}",10,"{-4, 4}"
386,"False","{{313, 168}, {136, 73}}","{{1, -1, -4}, {2, 1, 1}, 1}",10,"{-4, 4}"
386,"False","{{313, 136}, {168, 73}}","{{1, 1, 2}, {-4, -1, 1}, 1}",10,"{4, -4}"
386,"False","{{385, 48}, {8, 1}}","{{24}, {4}, 1}",28,"{24, 4}"
386,"False","{{385, 24}, {16, 1}}","{{12}, {8}, 1}",20,"{12, 8}"
386,"False","{{385, 16}, {24, 1}}","{{8}, {12}, 1}",20,"{8, 12}"
386,"False","{{385, 8}, {48, 1}}","{{4}, {24}, 1}",28,"{4, 24}"
402,"True","{{381, 200}, {40, 21}}","{{5, -5}, {-1, 1}, 1}",12,"{0, 0}"
402,"True","{{301, 200}, {152, 101}}","{{1, -1}, {-25, 1}, 1}",28,"{0, -24}"
402,"True","{{301, 152}, {200, 101}}","{{1, -25}, {-1, 1}, 1}",28,"{-24, 0}"
402,"True","{{349, 136}, {136, 53}}","{{1, -2, 1}, {1, -2, 1}, 1}",8,"{0, 0}"
402,"True","{{325, 184}, {136, 77}}","{{1, 1, -2}, {1, -2, 1}, 1}",8,"{0, 0}"
450,"False","{{393, 112}, {200, 57}}","{{1, -1}, {-14, 2}, 1}",18,"{0, -12}"
450,"False","{{393, 200}, {112, 57}}","{{2, -14}, {-1, 1}, 1}",18,"{-12, 0}"
450,"False","{{337, 280}, {136, 113}}","{{1, 5, -1, -1}, {1, 1, 1, 1}, 1}",12,"{4, 4}"
450,"False","{{337, 136}, {280, 113}}","{{1, 1, 1, 1}, {-1, -1, 5, 1}, 1}",12,"{4, 4}"
450,"False","{{385, 184}, {136, 65}}","{{1, -1, -1, 5}, {1, 1, 1, 1}, 1}",12,"{4, 4}"
450,"False","{{385, 136}, {184, 65}}","{{1, 1, 1, 1}, {5, -1, -1, 1}, 1}",12,"{4, 4}"
450,"False","{{449, 56}, {8, 1}}","{{28}, {4}, 1}",32,"{28, 4}"
450,"False","{{449, 8}, {56, 1}}","{{4}, {28}, 1}",32,"{4, 28}"
466,"False","{{365, 144}, {256, 101}}","{{1, 2, 1}, {-1, -4, 1}, 1}",10,"{4, -4}"
